지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,대장초기화여부,위도,경도
가로수,1,대전광역시 동구 ,36710099,19126,1,36.27036174,127.4705253
가로수,2,대전광역시 동구 ,36710099,19126,1,36.27045546,127.4706432
가로수,3,대전광역시 동구 ,36710099,19126,1,36.27044288,127.4706975
가로수,4,대전광역시 동구 ,36710099,19126,1,36.27042099,127.4707862
가로수,5,대전광역시 동구 ,36710099,19117,1,36.27039878,127.4708731
가로수,6,대전광역시 동구 ,36710099,19117,1,36.27038035,127.4709541
가로수,7,대전광역시 동구 ,36710099,19117,1,36.27035725,127.4710444
가로수,8,대전광역시 동구 ,36710099,19117,1,36.27033686,127.4711284
가로수,9,대전광역시 동구 ,36710099,19116,1,36.27031793,127.4712105
가로수,10,대전광역시 동구 ,36710099,18425,1,36.27029691,127.4712969
가로수,11,대전광역시 동구 ,36710099,18425,1,36.27029417,127.4713779
가로수,12,대전광역시 동구 ,36710099,18425,1,36.27028431,127.471456
가로수,13,대전광역시 동구 ,36710099,18427,1,36.27021926,127.4717369
가로수,14,대전광역시 동구 ,36710099,18427,1,36.27022637,127.4717058
가로수,15,대전광역시 동구 ,36710099,18427,1,36.27023934,127.4716523
가로수,16,대전광역시 동구 ,36710099,19126,1,36.27033958,127.4706213
가로수,17,대전광역시 동구 ,36710099,19126,1,36.2703121,127.4707951
가로수,18,대전광역시 동구 ,36710099,19117,1,36.27030121,127.4708857
가로수,19,대전광역시 동구 ,36710099,19117,1,36.27027511,127.4709874
가로수,20,대전광역시 동구 ,36710099,18427,1,36.27006118,127.471761
가로수,21,대전광역시 동구 ,36710099,18427,1,36.27007937,127.4716897
가로수,22,대전광역시 동구 ,36710099,18427,1,36.27009756,127.4716027
가로수,23,대전광역시 동구 ,36710099,18427,1,36.27012536,127.4715467
가로수,24,대전광역시 동구 ,36710099,18428,1,36.27015487,127.471485
가로수,25,대전광역시 동구 ,36710099,18425,1,36.27017688,127.4713957
가로수,26,대전광역시 동구 ,36710099,19126,1,36.27042138,127.4702791
가로수,27,대전광역시 동구 ,36710099,19126,1,36.27046002,127.4701269
가로수,28,대전광역시 동구 ,36710099,19126,1,36.27049195,127.4700457
가로수,29,대전광역시 동구 ,36710099,19126,1,36.27044045,127.4702071
가로수,30,대전광역시 동구 ,36710099,19126,1,36.27054769,127.4702704
가로수,31,대전광역시 동구 ,36710099,19126,1,36.2705682,127.4701853
가로수,32,대전광역시 동구 ,36710099,19126,1,36.27061016,127.4700155
가로수,33,대전광역시 동구 ,36710099,19131,1,36.27179361,127.4703578
가로수,34,대전광역시 동구 ,36710099,19131,1,36.27170983,127.4706871
가로수,35,대전광역시 동구 ,36710099,19131,1,36.27173001,127.47061
가로수,36,대전광역시 동구 ,36710099,19131,1,36.27181433,127.4702615
가로수,37,대전광역시 동구 ,36710099,19131,1,36.27183343,127.4701797
가로수,38,대전광역시 동구 ,36710099,19131,1,36.27185504,127.4700981
가로수,39,대전광역시 동구 ,36710099,19131,1,36.2718717,127.4700172
가로수,40,대전광역시 동구 ,36710099,19131,1,36.27191862,127.4701835
가로수,41,대전광역시 동구 ,36710099,19131,1,36.27193824,127.4701011
가로수,42,대전광역시 동구 ,36710099,14135,1,36.27285076,127.4706225
가로수,43,대전광역시 동구 ,36710099,14135,1,36.27286928,127.4705462
가로수,44,대전광역시 동구 ,36710099,14135,1,36.27288994,127.4704616
가로수,45,대전광역시 동구 ,36710099,14135,1,36.27291064,127.4703808
가로수,46,대전광역시 동구 ,36710099,14135,1,36.27292859,127.4703043
가로수,47,대전광역시 동구 ,36710099,14135,1,36.27294631,127.4702274
가로수,48,대전광역시 동구 ,36710099,14135,1,36.27296343,127.470157
가로수,49,대전광역시 동구 ,36710099,14135,1,36.27298509,127.4700795
가로수,50,대전광역시 동구 ,36710099,19131,1,36.27195628,127.4700177
가로수,51,대전광역시 동구 ,36710099,14135,1,36.27329813,127.4700429
가로수,52,대전광역시 동구 ,36710099,18569,1,36.27268315,127.4749954
가로수,53,대전광역시 동구 ,36710099,19127,1,36.27162679,127.4723996
가로수,54,대전광역시 동구 ,36710099,19127,1,36.27170022,127.4724176
가로수,55,대전광역시 동구 ,36710099,19127,1,36.27176851,127.4724356
가로수,56,대전광역시 동구 ,36710099,19127,1,36.27184249,127.4724539
가로수,57,대전광역시 동구 ,36710099,19127,1,36.27191367,127.4724729
가로수,58,대전광역시 동구 ,36710099,19127,1,36.27198066,127.4724931
가로수,59,대전광역시 동구 ,36710099,19127,1,36.27204928,127.4725144
가로수,60,대전광역시 동구 ,36710099,19127,1,36.27211605,127.4725351
가로수,61,대전광역시 동구 ,36710099,13468,1,36.27144359,127.4746191
가로수,62,대전광역시 동구 ,36710099,13468,1,36.27136816,127.4747423
가로수,63,대전광역시 동구 ,36710099,13468,1,36.27140934,127.4746736
가로수,64,대전광역시 동구 ,36710099,18579,1,36.27388657,127.4727646
가로수,65,대전광역시 동구 ,36710099,18579,1,36.27393028,127.4726715
가로수,66,대전광역시 동구 ,36710099,18579,1,36.27396425,127.4726023
가로수,67,대전광역시 동구 ,36710099,18579,1,36.27400158,127.472525
가로수,68,대전광역시 동구 ,36710099,18579,1,36.27404374,127.4724475
가로수,69,대전광역시 동구 ,36710099,18579,1,36.2740856,127.4723716
가로수,70,대전광역시 동구 ,36710099,18579,1,36.27415263,127.4722401
가로수,71,대전광역시 동구 ,36710099,18579,1,36.27419384,127.4721647
가로수,72,대전광역시 동구 ,36710099,18581,1,36.27423082,127.4720922
가로수,73,대전광역시 동구 ,36710099,18581,1,36.27426902,127.4720148
가로수,74,대전광역시 동구 ,36710099,18581,1,36.27430907,127.4719407
가로수,75,대전광역시 동구 ,36710099,18581,1,36.27434915,127.4718664
가로수,76,대전광역시 동구 ,36710099,18581,1,36.27439781,127.4718023
가로수,77,대전광역시 동구 ,36710099,18575,1,36.27451751,127.4715614
가로수,78,대전광역시 동구 ,36710099,18575,1,36.27463985,127.4713552
가로수,79,대전광역시 동구 ,36710099,18575,1,36.27467636,127.4712868
가로수,80,대전광역시 동구 ,36710099,18575,1,36.27472203,127.4712212
가로수,81,대전광역시 동구 ,36710099,18575,1,36.2747765,127.4711619
가로수,82,대전광역시 동구 ,36710099,18575,1,36.27480614,127.471111
가로수,83,대전광역시 동구 ,36710099,18575,1,36.2748737,127.4710243
가로수,84,대전광역시 동구 ,36710099,18575,1,36.27496861,127.4710798
가로수,85,대전광역시 동구 ,36710099,18575,1,36.27491221,127.4711513
가로수,86,대전광역시 동구 ,36710099,18575,1,36.27485776,127.4712242
가로수,87,대전광역시 동구 ,36710099,18575,1,36.27479026,127.4713169
가로수,88,대전광역시 동구 ,36710099,18575,1,36.27474357,127.471383
가로수,89,대전광역시 동구 ,36710099,18575,1,36.27469489,127.4714574
가로수,90,대전광역시 동구 ,36710099,18575,1,36.27465441,127.4715256
가로수,91,대전광역시 동구 ,36710099,18575,1,36.27461201,127.471594
가로수,92,대전광역시 동구 ,36710099,18348,1,36.27456933,127.471666
